gameno,gamedate,opponent,outcome
55,5/31/2013,vs Detroit Tigers,W
56,6/1/2013,vs Detroit Tigers,L
57,6/2/2013,vs Detroit Tigers,W
58,6/4/2013,at Houston Astros,W
59,6/5/2013,at Houston Astros,L
60,6/6/2013,at Houston Astros,W
61,6/7/2013,at Tampa Bay Rays,L
62,6/8/2013,at Tampa Bay Rays,L
63,6/9/2013,at Tampa Bay Rays,W
64,6/10/2013,vs Los Angeles Angels,W
65,6/11/2013,vs Los Angeles Angels,W
66,6/12/2013,vs Los Angeles Angels,L
67,6/13/2013,vs Boston Red Sox,W
68,6/14/2013,vs Boston Red Sox,W
69,6/15/2013,vs Boston Red Sox,L
70,6/16/2013,vs Boston Red Sox,W
71,6/17/2013,at Detroit Tigers,L
72,6/18/2013,at Detroit Tigers,W
73,6/19/2013,at Detroit Tigers,W
74,6/21/2013,at Toronto Blue Jays,L
75,6/22/2013,at Toronto Blue Jays,L
76,6/23/2013,at Toronto Blue Jays,L
77,6/24/2013,vs Cleveland Indians,L
78,6/25/2013,vs Cleveland Indians,W
79,6/26/2013,vs Cleveland Indians,L
80,6/27/2013,vs Cleveland Indians,W
81,6/28/2013,vs New York Yankees,W
82,6/29/2013,vs New York Yankees,W
83,6/30/2013,vs New York Yankees,W
84,7/2/2013,at Chicago White Sox,L
85,7/3/2013,at Chicago White Sox,W
86,7/4/2013,at Chicago White Sox,L
87,7/5/2013,at New York Yankees,L
88,7/6/2013,at New York Yankees,L
89,7/7/2013,at New York Yankees,W
90,7/8/2013,vs Texas Rangers,L
91,7/9/2013,vs Texas Rangers,L
92,7/10/2013,vs Texas Rangers,W
93,7/11/2013,vs Texas Rangers,W
94,7/12/2013,vs Toronto Blue Jays,W
95,7/13/2013,vs Toronto Blue Jays,L
96,7/14/2013,vs Toronto Blue Jays,W
97,7/19/2013,at Texas Rangers,W
98,7/20/2013,at Texas Rangers,W
99,7/21/2013,at Texas Rangers,W
100,7/22/2013,at Kansas City Royals,W
101,7/23/2013,at Kansas City Royals,L
102,7/24/2013,at Kansas City Royals,L
103,7/25/2013,at Kansas City Royals,L
104,7/26/2013,vs Boston Red Sox,W
105,7/27/2013,vs Boston Red Sox,L
106,7/28/2013,vs Boston Red Sox,L
107,7/30/2013,vs Houston Astros,W
108,7/31/2013,vs Houston Astros,L
109,8/1/2013,vs Houston Astros,W
110,8/2/2013,vs Seattle Mariners,W
111,8/3/2013,vs Seattle Mariners,L
112,8/4/2013,vs Seattle Mariners,L
113,8/6/2013,at San Diego Padres,W
114,8/7/2013,at San Diego Padres,W
115,8/9/2013,at San Francisco Giants,W
116,8/10/2013,at San Francisco Giants,L
117,8/11/2013,at San Francisco Giants,W
118,8/12/2013,at Arizona Diamondbacks,L
119,8/13/2013,at Arizona Diamondbacks,L
120,8/14/2013,at Arizona Diamondbacks,L
121,8/16/2013,vs Colorado Rockies,L
122,8/17/2013,vs Colorado Rockies,W
123,8/18/2013,vs Colorado Rockies,W
124,8/19/2013,vs Tampa Bay Rays,L
125,8/20/2013,vs Tampa Bay Rays,L
126,8/21/2013,vs Tampa Bay Rays,W
127,8/23/2013,vs Oakland Athletics,W
128,8/24/2013,vs Oakland Athletics,L
129,8/25/2013,vs Oakland Athletics,W
130,8/27/2013,at Boston Red Sox,L
131,8/28/2013,at Boston Red Sox,L
132,8/29/2013,at Boston Red Sox,W
133,8/30/2013,at New York Yankees,L
134,8/31/2013,at New York Yankees,L
135,9/1/2013,at New York Yankees,W
136,9/2/2013,at Cleveland Indians,W
137,9/3/2013,at Cleveland Indians,L
138,9/4/2013,at Cleveland Indians,L
139,9/5/2013,vs Chicago White Sox,W
140,9/6/2013,vs Chicago White Sox,W
141,9/7/2013,vs Chicago White Sox,W
142,9/8/2013,vs Chicago White Sox,L
143,9/9/2013,vs New York Yankees,W
144,9/10/2013,vs New York Yankees,L
145,9/11/2013,vs New York Yankees,L
146,9/12/2013,vs New York Yankees,L
147,9/13/2013,at Toronto Blue Jays,W
148,9/14/2013,at Toronto Blue Jays,L
149,9/15/2013,at Toronto Blue Jays,W
150,9/17/2013,at Boston Red Sox,W
151,9/18/2013,at Boston Red Sox,W
152,9/19/2013,at Boston Red Sox,L
153,9/20/2013,at Tampa Bay Rays,L
154,9/21/2013,at Tampa Bay Rays,L
155,9/22/2013,at Tampa Bay Rays,L
156,9/23/2013,at Tampa Bay Rays,L
157,9/24/2013,vs Toronto Blue Jays,L
158,9/25/2013,vs Toronto Blue Jays,W
159,9/26/2013,vs Toronto Blue Jays,W
160,9/27/2013,vs Boston Red Sox,L
161,9/28/2013,vs Boston Red Sox,W
162,9/29/2013,vs Boston Red Sox,W
