gameno,gamedate,opponent,outcome
1,4/2/2013,at Tampa Bay Rays,W
2,4/3/2013,at Tampa Bay Rays,L
3,4/4/2013,at Tampa Bay Rays,W
4,4/5/2013,vs Minnesota Twins,W
5,4/6/2013,vs Minnesota Twins,L
6,4/7/2013,vs Minnesota Twins,L
7,4/8/2013,at Boston Red Sox,L
8,4/10/2013,at Boston Red Sox,W
9,4/11/2013,at Boston Red Sox,W
10,4/12/2013,at New York Yankees,L
11,4/13/2013,at New York Yankees,W
12,4/14/2013,at New York Yankees,L
13,4/16/2013,vs Tampa Bay Rays,W
14,4/17/2013,vs Tampa Bay Rays,L
15,4/18/2013,vs Tampa Bay Rays,W
16-I,4/20/2013,vs Los Angeles Dodgers,W
17-II,4/20/2013,vs Los Angeles Dodgers,W
18,4/21/2013,vs Los Angeles Dodgers,L
19,4/22/2013,vs Toronto Blue Jays,W
20,4/23/2013,vs Toronto Blue Jays,W
21,4/24/2013,vs Toronto Blue Jays,L
22,4/25/2013,at Oakland Athletics,W
23,4/26/2013,at Oakland Athletics,W
24,4/27/2013,at Oakland Athletics,W
25,4/28/2013,at Oakland Athletics,L
26,4/29/2013,at Seattle Mariners,L
27,4/30/2013,at Seattle Mariners,W
28,5/1/2013,at Seattle Mariners,L
29,5/2/2013,at Los Angeles Angels,W
30,5/3/2013,at Los Angeles Angels,L
31,5/4/2013,at Los Angeles Angels,W
32,5/5/2013,at Los Angeles Angels,W
33,5/7/2013,vs Kansas City Royals,W
34,5/8/2013,vs Kansas City Royals,W
35,5/9/2013,vs Kansas City Royals,L
36,5/10/2013,at Minnesota Twins,W
37,5/11/2013,at Minnesota Twins,L
38,5/12/2013,at Minnesota Twins,W
39,5/14/2013,vs San Diego Padres,L
40,5/15/2013,vs San Diego Padres,L
41,5/17/2013,vs Tampa Bay Rays,L
42,5/18/2013,vs Tampa Bay Rays,L
43,5/19/2013,vs Tampa Bay Rays,L
44,5/20/2013,vs New York Yankees,L
45,5/21/2013,vs New York Yankees,W
46,5/22/2013,vs New York Yankees,W
47,5/23/2013,at Toronto Blue Jays,L
48,5/24/2013,at Toronto Blue Jays,W
49,5/25/2013,at Toronto Blue Jays,W
50,5/26/2013,at Toronto Blue Jays,L
51,5/27/2013,at Washington Nationals,W
52,5/28/2013,at Washington Nationals,L
53,5/29/2013,vs Washington Nationals,W
54,5/30/2013,vs Washington Nationals,W
