gameno,gamedate,opponent,outcome
112,8/5/2014,at Toronto Blue Jays,W
113,8/6/2014,at Toronto Blue Jays,L
114,8/7/2014,at Toronto Blue Jays,W
115,8/8/2014,vs St. Louis Cardinals,W
116,8/9/2014,vs St. Louis Cardinals,W
117,8/10/2014,vs St. Louis Cardinals,L
118,8/11/2014,vs New York Yankees,W
119,8/13/2014,vs New York Yankees,W
120,8/15/2014,at Cleveland Indians,L
121,8/16/2014,at Cleveland Indians,L
122,8/17/2014,at Cleveland Indians,W
123,8/18/2014,at Chicago White Sox,W
124,8/19/2014,at Chicago White Sox,W
125,8/20/2014,at Chicago White Sox,W
126,8/22/2014,at Chicago Cubs,L
127,8/23/2014,at Chicago Cubs,L
128,8/24/2014,at Chicago Cubs,L
129,8/25/2014,vs Tampa Bay Rays,W
130,8/26/2014,vs Tampa Bay Rays,W
131,8/27/2014,vs Tampa Bay Rays,L
132,8/28/2014,vs Tampa Bay Rays,W
133,8/29/2014,vs Minnesota Twins,W
134,8/30/2014,vs Minnesota Twins,W
135,8/31/2014,vs Minnesota Twins,W
136,9/1/2014,vs Minnesota Twins,L
137,9/2/2014,vs Cincinnati Reds,W
138,9/3/2014,vs Cincinnati Reds,W
139,9/4/2014,vs Cincinnati Reds,W
140,9/5/2014,at Tampa Bay Rays,L
141,9/6/2014,at Tampa Bay Rays,L
142,9/7/2014,at Tampa Bay Rays,W
143,9/8/2014,at Boston Red Sox,W
144,9/9/2014,at Boston Red Sox,W
145,9/10/2014,at Boston Red Sox,W
146-I,9/12/2014,vs New York Yankees,W
147-II,9/12/2014,vs New York Yankees,W
148,9/13/2014,vs New York Yankees,L
149,9/14/2014,vs New York Yankees,W
150,9/15/2014,vs Toronto Blue Jays,W
151,9/16/2014,vs Toronto Blue Jays,W
152,9/17/2014,vs Toronto Blue Jays,W
153,9/19/2014,vs Boston Red Sox,L
154,9/20/2014,vs Boston Red Sox,W
155,9/21/2014,vs Boston Red Sox,L
156,9/22/2014,at New York Yankees,L
157,9/23/2014,at New York Yankees,W
158,9/24/2014,at New York Yankees,W
159,9/25/2014,at New York Yankees,L
160,9/26/2014,at Toronto Blue Jays,L
161,9/27/2014,at Toronto Blue Jays,L
162,9/28/2014,at Toronto Blue Jays,W
