gameno,gamedate,opponent,outcome
131,8/29/2016,vs Toronto Blue Jays,L
132,8/30/2016,vs Toronto Blue Jays,W
133,8/31/2016,vs Toronto Blue Jays,L
134,9/2/2016,vs New York Yankees,W
135,9/3/2016,vs New York Yankees,W
136,9/4/2016,vs New York Yankees,L
137,9/5/2016,at Tampa Bay Rays,W
138,9/6/2016,at Tampa Bay Rays,W
139,9/7/2016,at Tampa Bay Rays,L
140,9/9/2016,at Detroit Tigers,L
141,9/10/2016,at Detroit Tigers,W
142,9/11/2016,at Detroit Tigers,W
143,9/12/2016,at Boston Red Sox,L
144,9/13/2016,at Boston Red Sox,W
145,9/14/2016,at Boston Red Sox,W
146,9/15/2016,vs Tampa Bay Rays,L
147,9/16/2016,vs Tampa Bay Rays,W
148,9/17/2016,vs Tampa Bay Rays,L
149,9/18/2016,vs Tampa Bay Rays,W
150,9/19/2016,vs Boston Red Sox,L
151,9/20/2016,vs Boston Red Sox,L
152,9/21/2016,vs Boston Red Sox,L
153,9/22/2016,vs Boston Red Sox,L
154,9/23/2016,vs Arizona Diamondbacks,W
155,9/24/2016,vs Arizona Diamondbacks,W
156,9/25/2016,vs Arizona Diamondbacks,W
157,9/27/2016,at Toronto Blue Jays,L
158,9/28/2016,at Toronto Blue Jays,W
159,9/29/2016,at Toronto Blue Jays,W
160,9/30/2016,at New York Yankees,W
161,10/1/2016,at New York Yankees,L
162,10/2/2016,at New York Yankees,W
163,10/4/2016,at Toronto Blue Jays,L
