gameno,gamedate,opponent,outcome
1,4/6/2015,at Tampa Bay Rays,W
2,4/7/2015,at Tampa Bay Rays,W
3,4/8/2015,at Tampa Bay Rays,L
4,4/10/2015,vs Toronto Blue Jays,L
5,4/11/2015,vs Toronto Blue Jays,W
6,4/12/2015,vs Toronto Blue Jays,L
7,4/13/2015,vs New York Yankees,L
8,4/14/2015,vs New York Yankees,W
9,4/15/2015,vs New York Yankees,W
10,4/17/2015,at Boston Red Sox,L
11,4/18/2015,at Boston Red Sox,W
12,4/19/2015,at Boston Red Sox,W
13,4/20/2015,at Boston Red Sox,L
14,4/21/2015,at Toronto Blue Jays,L
15,4/22/2015,at Toronto Blue Jays,L
16,4/23/2015,at Toronto Blue Jays,L
17,4/24/2015,vs Boston Red Sox,L
18,4/25/2015,vs Boston Red Sox,W
19,4/26/2015,vs Boston Red Sox,W
20,4/29/2015,vs Chicago White Sox,W
21,5/1/2015,vs Tampa Bay Rays,L
22,5/2/2015,vs Tampa Bay Rays,W
23,5/3/2015,vs Tampa Bay Rays,W
24,5/5/2015,at New York Mets,L
25,5/6/2015,at New York Mets,L
26,5/7/2015,at New York Yankees,L
27,5/8/2015,at New York Yankees,L
28,5/9/2015,at New York Yankees,W
29,5/10/2015,at New York Yankees,L
30,5/11/2015,vs Toronto Blue Jays,W
31,5/12/2015,vs Toronto Blue Jays,L
32,5/13/2015,vs Toronto Blue Jays,W
33,5/15/2015,vs Los Angeles Angels,L
34,5/16/2015,vs Los Angeles Angels,L
35,5/17/2015,vs Los Angeles Angels,W
36,5/19/2015,vs Seattle Mariners,W
37,5/20/2015,vs Seattle Mariners,L
38,5/21/2015,vs Seattle Mariners,W
39,5/22/2015,at Miami Marlins,W
40,5/23/2015,at Miami Marlins,L
41,5/24/2015,at Miami Marlins,L
42,5/25/2015,vs Houston Astros,W
43,5/26/2015,vs Houston Astros,L
44,5/27/2015,vs Houston Astros,W
45-I,5/28/2015,vs Chicago White Sox,L
46-II,5/28/2015,vs Chicago White Sox,W
47,5/29/2015,vs Tampa Bay Rays,W
48,5/30/2015,vs Tampa Bay Rays,L
49,5/31/2015,vs Tampa Bay Rays,L
50,6/1/2015,at Houston Astros,L
51,6/2/2015,at Houston Astros,L
52,6/3/2015,at Houston Astros,L
53,6/4/2015,at Houston Astros,W
54,6/5/2015,at Cleveland Indians,W
55,6/6/2015,at Cleveland Indians,L
56,6/7/2015,at Cleveland Indians,W
57,6/9/2015,vs Boston Red Sox,W
58,6/10/2015,vs Boston Red Sox,W
59,6/11/2015,vs Boston Red Sox,W
60,6/12/2015,vs New York Yankees,W
61,6/13/2015,vs New York Yankees,W
62,6/14/2015,vs New York Yankees,L
63,6/15/2015,vs Philadelphia Phillies,W
64,6/16/2015,vs Philadelphia Phillies,W
65,6/17/2015,at Philadelphia Phillies,W
66,6/18/2015,at Philadelphia Phillies,L
67,6/19/2015,at Toronto Blue Jays,L
68,6/20/2015,at Toronto Blue Jays,W
69,6/21/2015,at Toronto Blue Jays,W
