gameno,gamedate,opponent,outcome
70,6/23/2015,at Boston Red Sox,W
71,6/24/2015,at Boston Red Sox,L
72,6/25/2015,at Boston Red Sox,W
73,6/26/2015,vs Cleveland Indians,W
74-I,6/28/2015,vs Cleveland Indians,W
75-II,6/28/2015,vs Cleveland Indians,W
76,6/29/2015,vs Texas Rangers,L
77,6/30/2015,vs Texas Rangers,L
78,7/1/2015,vs Texas Rangers,W
79,7/2/2015,vs Texas Rangers,L
80,7/3/2015,at Chicago White Sox,L
81,7/4/2015,at Chicago White Sox,L
82,7/5/2015,at Chicago White Sox,W
83,7/6/2015,at Minnesota Twins,L
84,7/7/2015,at Minnesota Twins,L
85,7/8/2015,at Minnesota Twins,L
86,7/10/2015,vs Washington Nationals,W
87,7/11/2015,vs Washington Nationals,L
88,7/12/2015,vs Washington Nationals,L
89,7/17/2015,at Detroit Tigers,L
90,7/18/2015,at Detroit Tigers,W
91,7/19/2015,at Detroit Tigers,W
92,7/21/2015,at New York Yankees,L
93,7/22/2015,at New York Yankees,L
94,7/23/2015,at New York Yankees,L
95,7/24/2015,at Tampa Bay Rays,L
96,7/25/2015,at Tampa Bay Rays,W
97,7/26/2015,at Tampa Bay Rays,W
98,7/27/2015,vs Atlanta Braves,W
99,7/28/2015,vs Atlanta Braves,W
100,7/29/2015,vs Atlanta Braves,W
101,7/30/2015,vs Detroit Tigers,L
102,7/31/2015,vs Detroit Tigers,W
103,8/1/2015,vs Detroit Tigers,W
104,8/2/2015,vs Detroit Tigers,L
105,8/3/2015,at Oakland Athletics,W
106,8/4/2015,at Oakland Athletics,L
107,8/5/2015,at Oakland Athletics,W
108,8/7/2015,at Los Angeles Angels,L
109,8/8/2015,at Los Angeles Angels,W
110,8/9/2015,at Los Angeles Angels,L
111,8/10/2015,at Seattle Mariners,W
112,8/11/2015,at Seattle Mariners,L
113,8/12/2015,at Seattle Mariners,L
114,8/14/2015,vs Oakland Athletics,W
115,8/15/2015,vs Oakland Athletics,W
116,8/16/2015,vs Oakland Athletics,W
117,8/17/2015,vs Oakland Athletics,W
118,8/18/2015,vs New York Mets,L
119,8/19/2015,vs New York Mets,W
120,8/20/2015,vs Minnesota Twins,L
121,8/21/2015,vs Minnesota Twins,L
122,8/22/2015,vs Minnesota Twins,L
123,8/23/2015,vs Minnesota Twins,L
124,8/24/2015,at Kansas City Royals,L
125,8/25/2015,at Kansas City Royals,L
126,8/26/2015,at Kansas City Royals,W
127,8/27/2015,at Kansas City Royals,L
128,8/28/2015,at Texas Rangers,L
129,8/29/2015,at Texas Rangers,L
130,8/30/2015,at Texas Rangers,L
131,8/31/2015,vs Tampa Bay Rays,L
132,9/1/2015,vs Tampa Bay Rays,L
133,9/2/2015,vs Tampa Bay Rays,W
134,9/4/2015,at Toronto Blue Jays,W
135,9/5/2015,at Toronto Blue Jays,L
136,9/6/2015,at Toronto Blue Jays,L
137,9/7/2015,at New York Yankees,L
138,9/8/2015,at New York Yankees,W
139,9/9/2015,at New York Yankees,W
140,9/11/2015,vs Kansas City Royals,W
141,9/12/2015,vs Kansas City Royals,L
142,9/13/2015,vs Kansas City Royals,W
143,9/14/2015,vs Boston Red Sox,W
144,9/15/2015,vs Boston Red Sox,W
145,9/16/2015,vs Boston Red Sox,L
146,9/17/2015,at Tampa Bay Rays,W
147,9/18/2015,at Tampa Bay Rays,L
148,9/19/2015,at Tampa Bay Rays,W
149,9/20/2015,at Tampa Bay Rays,L
150,9/22/2015,at Washington Nationals,W
151,9/23/2015,at Washington Nationals,W
152,9/24/2015,at Washington Nationals,W
153,9/25/2015,at Boston Red Sox,L
154,9/26/2015,at Boston Red Sox,L
155,9/27/2015,at Boston Red Sox,L
156,9/28/2015,vs Toronto Blue Jays,L
157-I,9/30/2015,vs Toronto Blue Jays,L
158-II,9/30/2015,vs Toronto Blue Jays,W
159,10/1/2015,vs Toronto Blue Jays,W
160-I,10/3/2015,vs New York Yankees,W
161-II,10/3/2015,vs New York Yankees,W
162,10/4/2015,vs New York Yankees,W
