89,7/16/2012,at Minnesota Twins,19-Jul,L,46-43
90,7/17/2012,at Minnesota Twins,6-Apr,L,46-44
91,7/18/2012,at Minnesota Twins,1-Feb,W,47-44
92,7/19/2012,at Minnesota Twins,3-Apr,W,48-44
93,7/20/2012,at Cleveland Indians,2-Oct,W,49-44
94,7/21/2012,at Cleveland Indians,1-Mar,W,50-44
95,7/22/2012,at Cleveland Indians,3-Apr,W,51-44
96,7/23/2012,at Cleveland Indians,3-Jan,L,51-45
97,7/24/2012,vs Tampa Bay Rays,3-Jan,L,51-46
98,7/25/2012,vs Tampa Bay Rays,10-Jan,L,51-47
99,7/26/2012,vs Tampa Bay Rays,2-Jun,W,52-47
100,7/27/2012,vs Oakland Athletics,14-Sep,L,52-48
101,7/28/2012,vs Oakland Athletics,6-Jan,L,52-49
102,7/29/2012,vs Oakland Athletics,1-Jun,W,53-49
103,7/30/2012,at New York Yankees,4-May,W,54-49
104,7/31/2012,at New York Yankees,5-Nov,W,55-49
105,8/1/2012,at New York Yankees,12-Mar,L,55-50
106,8/3/2012,at Tampa Bay Rays,0-2,L,55-51
107,8/4/2012,at Tampa Bay Rays,Apr-00,W,56-51
108,8/5/2012,at Tampa Bay Rays,Jan-00,W,57-51
109,8/6/2012,vs Seattle Mariners,1-Mar,W,58-51
110,8/7/2012,vs Seattle Mariners,7-Aug,W,59-51
111,8/8/2012,vs Seattle Mariners,2-Sep,W,60-51
112,8/9/2012,vs Kansas City Royals,8-Feb,L,60-52
113,8/10/2012,vs Kansas City Royals,1-Jul,W,61-52
114,8/11/2012,vs Kansas City Royals,7-Mar,L,61-53
115,8/12/2012,vs Kansas City Royals,3-May,W,62-53
116,8/14/2012,vs Boston Red Sox,1-Jul,W,63-53
117,8/15/2012,vs Boston Red Sox,3-May,W,64-53
118,8/16/2012,vs Boston Red Sox,6-Mar,L,64-54
119,8/17/2012,at Detroit Tigers,5-Mar,L,64-55
120,8/18/2012,at Detroit Tigers,2-Mar,W,65-55
121,8/19/2012,at Detroit Tigers,5-Jul,W,66-55
122,8/20/2012,at Texas Rangers,5-Jan,L,66-56
123,8/21/2012,at Texas Rangers,3-May,W,67-56
124,8/22/2012,at Texas Rangers,12-Mar,L,67-57
125,8/24/2012,vs Toronto Blue Jays,4-Jun,W,68-57
126,8/25/2012,vs Toronto Blue Jays,2-Aug,W,69-57
127,8/27/2012,vs Chicago White Sox,3-Apr,W,70-57
128,8/28/2012,vs Chicago White Sox,Jun-00,W,71-57
129,8/29/2012,vs Chicago White Sox,8-Jan,L,71-58
130,8/30/2012,vs Chicago White Sox,3-May,W,72-58
131,8/31/2012,at New York Yankees,1-Jun,W,73-58
132,9/1/2012,at New York Yankees,4-Mar,L,73-59
133,9/2/2012,at New York Yankees,3-Aug,W,74-59
134,9/3/2012,at Toronto Blue Jays,Apr-00,W,75-59
135,9/4/2012,at Toronto Blue Jays,Dec-00,W,76-59
136,9/5/2012,at Toronto Blue Jays,6-Apr,L,76-60
137,9/6/2012,vs New York Yankees,6-Oct,W,77-60
138,9/7/2012,vs New York Yankees,8-May,L,77-61
139,9/8/2012,vs New York Yankees,4-May,W,78-61
140,9/9/2012,vs New York Yankees,13-Mar,L,78-62
141,9/11/2012,vs Tampa Bay Rays,2-Sep,W,79-62
142,9/12/2012,vs Tampa Bay Rays,2-Mar,W,80-62
143,9/13/2012,vs Tampa Bay Rays,2-Mar,W,81-62
